req_id,dept_id,exam_year,subject_id,require_level
1039,4152,114,1,均標
1040,4152,114,2,均標
1041,4152,114,3,
1042,4152,114,4,
1043,4152,114,5,均標
1044,4172,114,0,均標
1045,4172,114,1,均標
1046,4172,114,2,前標
1047,4172,114,3,
1048,4172,114,4,
1049,4172,114,5,前標
1050,4192,114,0,
1051,4192,114,1,前標
1052,4192,114,2,前標
1053,4192,114,3,
1054,4192,114,4,
1055,4192,114,5,前標
1056,4202,114,0,均標
1057,4202,114,1,前標
1058,4202,114,2,前標
1059,4202,114,3,
1060,4202,114,4,
1061,4202,114,5,前標
1062,4212,114,0,
1063,4212,114,1,前標
1064,4212,114,2,前標
1065,4212,114,3,
1066,4212,114,4,
1067,4212,114,5,前標
1068,4222,114,0,
1069,4222,114,1,前標
1070,4222,114,2,前標
1071,4222,114,3,
1072,4222,114,4,
1073,4222,114,5,前標
1074,4232,114,0,均標
1075,4232,114,1,前標
1076,4232,114,2,前標
1077,4232,114,3,
1078,4232,114,4,
1079,4232,114,5,前標
1080,4252,114,0,均標
1081,4252,114,1,均標
1082,4252,114,2,均標
1083,4252,114,3,
1084,4252,114,4,
1085,4252,114,5,均標
1086,4272,114,0,
1087,4272,114,1,前標
1088,4272,114,2,前標
1089,4272,114,3,
1090,4272,114,4,
1091,4272,114,5,前標
1092,4282,114,0,前標
1093,4282,114,1,前標
1094,4282,114,2,前標
1095,4282,114,3,
1096,4282,114,4,
1097,4282,114,5,
1098,4292,114,0,均標
1099,4292,114,1,前標
1100,4292,114,2,前標
1101,4292,114,3,
1102,4292,114,4,
1103,4292,114,5,均標
1104,4302,114,0,均標
1105,4302,114,1,前標
1106,4302,114,2,前標
1107,4302,114,3,
1108,4302,114,4,
1109,4302,114,5,
1110,4312,114,0,均標
1111,4312,114,1,前標
1112,4312,114,2,
1113,4312,114,3,前標
1114,4312,114,4,均標
1115,4312,114,5,
1116,4322,114,0,均標
1117,4322,114,1,前標
1118,4322,114,2,
1119,4322,114,3,均標
1120,4322,114,4,
1121,4322,114,5,
1122,4332,114,0,頂標
1123,4332,114,1,頂標
1124,4332,114,2,頂標
1125,4332,114,3,
1126,4332,114,4,
1127,4332,114,5,頂標
1128,4342,114,0,頂標
1129,4342,114,1,頂標
1130,4342,114,2,頂標
1131,4342,114,3,
1132,4342,114,4,
1133,4342,114,5,頂標
1134,4352,114,0,頂標
1135,4352,114,1,頂標
1136,4352,114,2,頂標
1137,4352,114,3,
1138,4352,114,4,
1139,4352,114,5,頂標
1140,4362,114,0,均標
1141,4362,114,1,均標
1142,4362,114,2,均標
1143,4362,114,3,
1144,4362,114,4,
1145,4362,114,5,均標
1146,4372,114,0,均標
1147,4372,114,1,均標
1148,4372,114,2,
1149,4372,114,3,
1150,4372,114,4,
1151,4372,114,5,均標
1152,4382,114,0,
1153,4382,114,1,前標
1154,4382,114,2,
1155,4382,114,3,
1156,4382,114,4,
1157,4382,114,5,均標
1158,4392,114,0,均標
1159,4392,114,1,前標
1160,4392,114,2,
1161,4392,114,3,
1162,4392,114,4,
1163,4392,114,5,均標
1164,4402,114,0,均標
1165,4402,114,1,均標
1166,4402,114,2,均標
1167,4402,114,3,
1168,4402,114,4,
1169,4402,114,5,均標
