dept_id,univ_id,department,學群,學類,category_id
006052,006,政治學系,法政學群,政治學類,1504
006062,006,社會學系,社會與心理學群,社會學學類,1002
006072,006,財政學系,財經學群,財稅學類,1705
006082,006,公共行政學系,法政學群,行政管理學類,1505
006092,006,地政學系土地資源規劃組,法政學群,地政與土地資產管理學類,1506
006102,006,地政學系土地管理組,法政學群,地政與土地資產管理學類,1506
006112,006,地政學系土地測量與資訊組,法政學群,地政與土地資產管理學類,1506
006122,006,經濟學系,財經學群,經濟學類,1707
006132,006,民族學系,社會與心理學群,人類/民族學學類,1004
006142,006,外交學系,法政學群,政治學類,1504
006152,006,國際經營與貿易學系,財經學群,國際企業學類,1704
006162,006,金融學系,財經學群,財務金融學類,1703
006172,006,會計學系,財經學群,會計學類,1702
006182,006,統計學系(甲組),財經學群,統計學類,1701
006192,006,統計學系(乙組),財經學群,統計學類,1701
006202,006,企業管理學系,管理學群,企業管理學類,1608
006212,006,資訊管理學系,管理學群,資訊管理學類,1601
006222,006,財務管理學系,財經學群,財務金融學類,1703
006232,006,風險管理與保險學系,財經學群,保險學類,1706
006242,006,傳播學院大一大二不分系(社會組),大眾傳播學群,大眾傳播學類,1102
006252,006,傳播學院大一大二不分系(自然組),大眾傳播學群,大眾傳播學類,1102
006262,006,英國語文學系,外語學群,英語文學類,1201
006272,006,阿拉伯語文學系,外語學群,東方語文學類,1204
006282,006,斯拉夫語文學系,外語學群,歐語文學類,1202
006292,006,日本語文學系,外語學群,日語文學類,1203
006302,006,韓國語文學系,外語學群,東方語文學類,1204
006312,006,土耳其語文學系,外語學群,東方語文學類,1204
006322,006,歐洲語文學系法文組,外語學群,歐語文學類,1202
006332,006,歐洲語文學系德文組,外語學群,歐語文學類,1202
006342,006,歐洲語文學系西班牙文組,外語學群,歐語文學類,1202
006352,006,東南亞語文學系越文組,外語學群,東方語文學類,1204
006362,006,東南亞語文學系泰文組,外語學群,東方語文學類,1204
006372,006,東南亞語文學系印尼文組,外語學群,東方語文學類,1204
006382,006,法律學系,法政學群,法律學類,1502
006392,006,應用數學系,數理化學群,數學學類,0301
006402,006,心理學系,社會與心理學群,心理學類,1001
006412,006,資訊科學系,資訊學群,資訊工程學類,0101
006422,006,資訊科學系(跨領域組),資訊學群,資訊工程學類,0101
006432,006,資訊科學系(APCS組),資訊學群,資訊工程學類,0101
006442,006,資訊科學系(資安組),資訊學群,資訊工程學類,0101
006452,006,創新國際學院學士班,管理學群,企業管理學類,1608
006462,006,政星招生(甲組),不分系學群,不分系學類,1901
006472,006,政星招生(乙組),不分系學群,不分系學類,1901
007012,007,醫學系,醫藥衛生學群,醫學學類,0401
007022,007,運動醫學系,醫藥衛生學群,運動保健學類,0417
007032,007,呼吸治療學系,醫藥衛生學群,呼吸治療學類,0411
007042,007,牙醫學系,醫藥衛生學群,牙醫學類,0403
007052,007,口腔衛生學系,醫藥衛生學群,健康照護學類,0412
007062,007,口腔衛生學系(英語組),醫藥衛生學群,健康照護學類,0412
007072,007,藥學系,醫藥衛生學群,藥學學類,0409
007082,007,香粧品學系,醫藥衛生學群,化妝品學類,0413
007092,007,護理學系,醫藥衛生學群,護理學類,0406
007102,007,公共衛生學系,醫藥衛生學群,公共衛生學類,0402
007112,007,醫學檢驗生物技術學系,醫藥衛生學群,醫學檢驗暨生物技術學類,0407
007122,007,醫學影像暨放射科學系,醫藥衛生學群,醫學影像暨放射科學學類,0408
007132,007,職能治療學系,醫藥衛生學群,職能治療學類,0405
007142,007,物理治療學系,醫藥衛生學群,物理治療學類,0404
