req_id,dept_id,exam_year,subject_id,require_level
1110,004042,115,0,前標
1111,004042,115,1,前標
1112,004042,115,2,
1113,004042,115,3,均標
1114,004042,115,4,前標
1115,004042,115,5,
1116,004052,115,0,
1117,004052,115,1,
1118,004052,115,2,
1119,004052,115,3,
1120,004052,115,4,
1121,004052,115,5,
1122,004062,115,0,均標
1123,004062,115,1,均標
1124,004062,115,2,均標
1125,004062,115,3,
1126,004062,115,4,
1127,004062,115,5,均標
1128,004072,115,0,
1129,004072,115,1,
1130,004072,115,2,
1131,004072,115,3,
1132,004072,115,4,
1133,004072,115,5,
1134,004082,115,0,
1135,004082,115,1,均標
1136,004082,115,2,均標
1137,004082,115,3,
1138,004082,115,4,
1139,004082,115,5,均標
1140,004092,115,0,均標
1141,004092,115,1,均標
1142,004092,115,2,前標
1143,004092,115,3,
1144,004092,115,4,
1145,004092,115,5,前標
1146,004102,115,0,均標
1147,004102,115,1,均標
1148,004102,115,2,前標
1149,004102,115,3,
1150,004102,115,4,
1151,004102,115,5,前標
1152,004112,115,0,均標
1153,004112,115,1,頂標
1154,004112,115,2,前標
1155,004112,115,3,
1156,004112,115,4,
1157,004112,115,5,前標
1158,004122,115,0,
1159,004122,115,1,
1160,004122,115,2,
1161,004122,115,3,
1162,004122,115,4,
1163,004122,115,5,
1164,004132,115,0,
1165,004132,115,1,前標
1166,004132,115,2,前標
1167,004132,115,3,
1168,004132,115,4,
1169,004132,115,5,前標
1170,004142,115,0,均標
1171,004142,115,1,均標
1172,004142,115,2,均標
1173,004142,115,3,
1174,004142,115,4,
1175,004142,115,5,均標
1176,004152,115,0,均標
1177,004152,115,1,均標
1178,004152,115,2,均標
1179,004152,115,3,
1180,004152,115,4,
1181,004152,115,5,均標
1182,004162,115,0,均標
1183,004162,115,1,前標
1184,004162,115,2,均標
1185,004162,115,3,
1186,004162,115,4,
1187,004162,115,5,均標
1188,004172,115,0,均標
1189,004172,115,1,均標
1190,004172,115,2,前標
1191,004172,115,3,
1192,004172,115,4,
1193,004172,115,5,前標
1194,004182,115,0,均標
1195,004182,115,1,前標
1196,004182,115,2,前標
1197,004182,115,3,
1198,004182,115,4,
1199,004182,115,5,前標
1200,004192,115,0,
1201,004192,115,1,
1202,004192,115,2,
1203,004192,115,3,
1204,004192,115,4,
1205,004192,115,5,
1206,004202,115,0,均標
1207,004202,115,1,前標
