dept_id,univ_id,dept_name,category_id
013532,013,生命科學系暨基因體科學研究所(生醫光電與資訊組),0504
013542,013,生物醫學工程學系,0411
013552,013,藥學系,0409
013562,013,學士班大一大二不分系,1901
013572,013,中醫學系,0402
014012,014,中國文學學系,1304
014022,014,歷史學系,1305
014032,014,資訊與圖書館學系,0105
014042,014,大眾傳播學系,1102
014052,014,資訊傳播學系,1101
014062,014,教育科技學系,1407
014072,014,教育與未來設計學系,1407
014082,014,英文學系,1201
014092,014,英文學系全英語學士班,1201
014102,014,歐洲語文學系法文組,1202
014112,014,歐洲語文學系德文組,1202
014122,014,歐洲語文學系西文組,1202
014132,014,歐洲語文學系俄文組,1202
014142,014,日本語文學系,1203
014152,014,財務金融學系,1703
014162,014,財務金融學系全球財務管理全英語學士班,1703
014172,014,國際企業學系經貿管理組,1704
014182,014,國際企業學系國際商學全英語組,1704
014192,014,風險管理與保險學系,1706
014202,014,經濟學系,1707
014212,014,會計學系,1702
014222,014,企業管理學系,1603
014232,014,企業管理學系全英語學士班,1603
014242,014,統計與資料科學學系,1701
014252,014,資訊管理學系,1602
014262,014,運輸管理學系,1607
014272,014,公共行政暨法律學系,1505
014282,014,管理科學學系,1605
014292,014,外交與國際關係學系全英語學士班,1504
014302,014,國際觀光管理學系全英語學士班,1804
014312,014,全球政治經濟學系全英語學士班,1504
014322,014,應用數學與數據科學學系,0301
014332,014,化學學系,0302
014342,014,物理學系(量子材料組),0303
014352,014,物理學系(天文與基礎物理組),0303
014362,014,建築學系,0802
014372,014,土木工程學系,0207
014382,014,資訊工程學系A組,0101
014392,014,資訊工程學系B組,0101
014402,014,資訊工程學系全英語學士班,0101
014412,014,機械與機電工程學系,0206
014422,014,電機工程學系(電機資訊組),0201
014432,014,電機工程學系(電機通訊組),0204
014442,014,電機工程學系(電機與系統組),0201
014452,014,化學工程與材料工程學系,0210
014462,014,航空太空工程學系,0208
014472,014,水資源及環境工程學系,0209
014482,014,人工智慧學系,0101
014492,014,資訊工程學系(APCS組),0101
014502,014,電機工程學系(APCS組),0201
014512,014,人工智慧學系(APCS組),0101
014522,014,資訊管理學系(APCS組),1602
014532,014,教育與未來設計學系(青年儲蓄帳戶組),1407
014542,014,會計學系(青年儲蓄帳戶組),1702
014552,014,管理科學學系(青年儲蓄帳戶組),1605
014562,014,建築學系(青年儲蓄帳戶組),0802
015012,015,中國文學系,1304
015022,015,外國語文學系,1201
015032,015,歷史與文物研究學系,1305
015042,015,教育學院學士班,1407
015052,015,特殊教育學系,1402
015062,015,英語教學系,1205
015072,015,國際企業管理學系,1704
015082,015,會計學系,1702
015092,015,財務金融學系,1703
015102,015,公共事務與管理學系,1505
015112,015,統計學系,1701
015122,015,應用經濟與社會發展學系,1707
015132,015,企業管理學系,1603
015142,015,行銷學系,1604
015152,015,國際經營與貿易學系,1704
015162,015,運輸科技與物流管理學系,1607
015172,015,休閒遊憩管理學系,1807
